PRN,SVN,BLOCK_NO,COSPAR_ID,ATTITUDE_FLAG,START_TIME,END_TIME,MASS,AREA_MASS,RAD_PRESS_C0,AIR_MODEL,AIR_C0,PLN_SLT,CoM_X,CoM_Y,CoM_Z,ARP_X,ARP_Y,ARP_Z,E1_PCO_X,E1_PCO_Y,E1_PCO_Z,E5a_PCO_X,E5a_PCO_Y,E5a_PCO_Z
211,101,203, 2011-060A,0, 2011 10 21 00 00 00,NA,696.8,0,0,0,0,203,1205.84,628.97,553.44,1375.5,600,1100.5,-0.23,-0.73,264.67,0.2,3.05,244.75
212,102,203, 2011-060B,0, 2011 10 21 00 00 00,NA,695.3,0,0,0,0,203,1205.33,628.81,551.41,1375.5,600,1100.5,1.37,-1.11,295.49,-0.69,0.97,232.32
219,103,203, 2012-055A,0, 2012 10 12 00 00 00,NA,697.6,0,0,0,0,202,1205.29,629.58,552.81,1375.5,600,1100.5,2,-0.3,258.37,0.8,1.64,244.39
220,104,203, 2012-055B,0, 2012 10 12 00 00 00,NA,693.8,0,0,0,0,202,1204.49,630.14,552.01,1375.5,600,1100.5,1.3,0.79,242.5,-0.42,2.27,257.58
218,201,204, 2014-050A,0, 2014 08 22 00 00 00,NA,661,0,0,0,0,299,316.89,-13.48,561.92,140,0,1215,0.38,-0.2,88.95,-0.49,-0.7,-42.25
214,202,204, 2014-050B,0, 2014 08 22 00 00 00,NA,662.1,0,0,0,0,299,311.61,-12.6,562.31,140,0,1215,0.57,0.36,69.3,-0.88,-0.19,-43.31
226,203,204, 2015-017A,0, 2015 03 27 00 00 00,NA,705.7,0,0,0,0,203,259.54,-9.24,561.17,140,0,1215,0.78,-0.64,90.93,-0.16,-0.78,-52.88
222,204,204, 2015-017B,0, 2015 03 27 00 00 00,NA,697.7,0,0,0,0,203,269.65,-9.35,561.29,140,0,1215,2.62,-1.2,43.89,-1.2,0.26,0.09
224,205,204, 2015-045A,0, 2015 09 11 00 00 00,NA,708.8,0,0,0,0,201,258.57,-9.88,565.46,140,0,1215,1.13,-0.67,73.59,-0.77,-0.35,-20.76
230,206,204, 2015-045B,0, 2015 09 11 00 00 00,NA,707.7,0,0,0,0,201,259.24,-9.51,565.27,140,0,1215,-0.36,-1.28,47.67,-0.35,-0.63,-38.26
